Category,Name,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Uni_1,Uni_2,Uni_3,Uni_4,Uni_5,Uni_6
Auditing,Do mandated checklists enhance audit quality? Evidence from a natural experiment,Gopal Krishnan,Nagarjun S,Bhavya Singhvi,,,,Bentley University,Indian Institute of Management Udaipur,,,,
Auditing,Auditing on the information superhighway: mobile internet and local audit market competition,Erdong Wang,Jiexuan Wang,Keyuan Zhang,Yiwen Chen,,,University of Wyoming,Nankai University,Shanghai Jiao Tong University,,,
Auditing,Economic consequences of country-by-country reporting: evidence from audit fees,Justin Chircop,Shaohua He,Jiancheng (Duncan) Liu,,,,Lancaster University,Lancaster University,,,,
Auditing,"Non-compete agreement enforceability, audit effectiveness, and efficiency",Pradeep Sapkota,Md Nazmul Islam,Sarfraz Khan,,,,University of North Texas,State University of New York At Geneseo,,,,
Auditing,Assessing blockchain adoption in accounting and auditing in Sweden,Gabriela Ariciu,,,,,,,,,,,
Auditing,The impact of artificial intelligence on audit task outcomes,Annika Bonrath,,,,,,,,,,,
Auditing,Audit offices’ cybersecurity experience and industry range,Christelle Alkhoury,Javad Rajabalizadeh,,,,,Audiencia Business School,,,,,
Auditing,Hop on a Zoom? Do client incivility and virtual work modalities impact auditors’ perceptions of organizational support?,Sarah McCoy,,,,,,,,,,,
Auditing,Small seems plausible: effects of magnitude appearance on auditors’ causal and skeptical judgments of AI-detected correlations,Tracie Majors,Sebastian Stirnkorb,Isaac Yamoah,,,,University of Southern California,University of Illinois Urbana-Champaign,,,,
Auditing,Quantum cognition and ethical pathways in AI governance: an examination of chief audit executives’ reporting standards and decision-making dynamics,Waymond Rodgers,Salem Al Fayi,,,,,University of Texas El Paso,,,,,
Auditing,Trust under scrutiny: audit partner-CFO trust and audit quality,Ole-Kristian Hope,,,,,,University of Toronto,,,,,
Auditing,FRC quality inspections and materiality judgment,Omar de Ines Anton,Stavriana Hadjigavriel,Arpine Maghakyan,,,,CUNEF Universidad,CUNEF Universidad,University of Glasgow,,,
Auditing,Cross-border audit regulation and debt structure concentration: evidence from PCAOB international inspections,Yiye Liu,Yangxin Yu,Xindong Zhu,Simon Fung,,,Xiamen University,City University of Hong Kong,City University of Hong Kong,Deakin University,,
Auditing,"Audit committee, internal audit function and audit quality: emerging market perspective",Oksana Kim,Byron Pike,,,,,Minnesota State University – Mankato,Minnesota State University – Mankato,,,,
Auditing,No glory in prevention? The case of the audit association of German private banks,Fabian Müller,Barbara E. Weißenberger,,,,,Heinrich Heine University Düsseldorf,Heinrich Heine University Düsseldorf,,,,
Auditing,The power of knowledge: soft governance and audit quality,Youdi Zhu,Fang Zhang,,,,,Hong Kong Baptist University,Hong Kong Baptist University,,,,
Auditing,Secrecy culture and the communicative value of key audit matters: evidence from Europe,Lay Huay Yeap,Pamela Kent,Natalie Elms,Daifei (Troy) Yao,,,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Griffith University,,
Auditing,Auditor reputation trap,Sebastian Kronenberger,,,,,,University of Mannheim,,,,,
Auditing,How audit partners shape key audit matters (KAMs)?,Yu-Tzu Chang,Wuchun Chi,,,,,National Chengchi University,National Chengchi University,,,,
Auditing,Being a professional accountant: individual auditors’ propriety legitimacy judgements under intense audit oversight,Sanjay Bissessur,Gerjanne Beltman,Isabelle van Dijk,Sanne Gaspersz,,,University of Amsterdam,Pwc,EY,,,
Auditing,"Human capital development in auditing: a qualitative study of learning mechanisms, challenges, and differences across audit firms",Lobke Weijers,Bart Dierynck,Claudia Marangoni,Christian Peters,,,Tilburg University,Tilburg University,Tilburg University,,,
Auditing,Audit teams: a systematic review and integrative framework,Bryan Malki,Timur Uman,Miguel Gil,,,,Jönköping International Business School,Jönköping University,,,,
Auditing,ESG assurance and the timeliness of ESG reporting: evidence from Taiwan,Feng-Yi Lin,Szu-Yin (Jennifer) Wu,Teng-Shih Wang,,,,National Taipei University of Technology,School of Management University at Buffalo,,,,
Auditing,Sustainability expertise in the audit profession: evidence from error restatements,Janine Maniora,Kajatheepan Navanathan,,,,,Heinrich Heine University Düsseldorf,,,,,
Auditing,The impact of sustainability assurance and the choice of assurance provider on narrative sustainability disclosure: evidence from the European Union’s Non-Financial Reporting Directive,Aaron Kasischke,Brigitte Eierle,,,,,University of Bamberg,,,,,
Auditing,ESG assurance and anti-ESG laws: evidence from state-level laws,Siqi Fan,Matthew Hinton,,,,,Southern Arkansas University,,,,,
Auditing,Auditors’ response to corporate climate lobbying,Dimitrios Gounopoulos,Ole-Kristian Hope,Vlad-Andrei Porumb,Mingran Zhang,,,University of Bath,University of Toronto,University of Manchester,,,
Auditing,Relative age and career outcomes: evidence from the accounting profession,Huan Ke,Janus Jian Zhang,Byron Song,Di Guo,,,Hong Kong Baptist University,Hong Kong Baptist University,Hong Kong Baptist University,,,
Auditing,Generation Z in the Swedish audit profession: generational differences in work values and implications for retention,Nellie Gertsson,Elin Smith,Elina Holm,Adam Turesson,,,Kristianstad University,Kristianstad University,Audit Firm,,,
Auditing,Assessing the efficiency and effectiveness of AI adoption in auditing and advisory practices: an empirical investigation,Mohamed Hegazy,Karim Hegazy,Mohamed el-Deeb,Yasser Halim,,,American University in Cairo,John Morris University Liverpool,Modern Sciences And Arts University,,,
Auditing,"The economics of audit quality: reputation capital, liability, and market demand",Marcel Steller,Erich Pummerer,,,,,Johannes Kepler University Linz,,,,,
Auditing,Political partisanship of audit engagement partners and audit outcomes: evidence from the U.S.,Corvin Kintzel,Sven Hartlieb,Stephan Küster,,,,University of Innsbruck,University of Innsbruck,,,,
Auditing,Do family firms pay less for audits? Evidence from Japan,Yue Yang,,,,,,,,,,,
Auditing,Client third-party specialists and audit engagement,Zeping Pan,,,,,,,,,,,
Auditing,Government customer base and audit pricing,Yifan Jia,Shuqing Luo,,,,,Xiamen University,,,,,
Auditing,Public support and private assurance: how anticipated government subsidies affect voluntary audit choices?,Chen Chen,Feng Chen,Ting-Chiao Huang,Jiancheng (Duncan) Liu,,,Monash University,Monash University,Monash Business School,,,
Auditing,Audit regulation for financially constrained firms,Negin Attar-Niggeman,,,,,,,,,,,
Auditing,Synergy between audit and non-audit services,Qiang Guo,Joseph Gerakos,Christopher Koch,Aiyong Zhu,,,University of Southern Denmark,Dartmouth College,University of Mainz,Southwestern University of Finance and Economics,,
Auditing,Fostering audit quality through social learning from errors,Diane Breesch,Menno Craninckx,Therese Grohnert,Linde Kerckhofs,Marie-Laure Vandenhaute,,Vrije Universiteit Brussel,Vrije Universiteit Brussel,Maastricht University,IESEG School of Management,,
Auditing,The spillover effects of SEC monitoring on auditor disclosures,Jun Nguyen,Nhan Ha,,,,,NHH Norwegian School of Economics,IESEG School of Management,,,,
Auditing,Effects of the EU audit reform on the revenue composition of audit firms,Christian Bernard,Ulf Bruggemann,,,,,Humboldt University of Berlin,Humboldt University of Berlin,,,,
Auditing,Economic policy uncertainty and audit market dynamics: international evidence,Belen Gill de Albornoz,Araceli Mora,Sha Yang,,,,Universitat Jaume I,University of Valencia,,,,
Auditing,"Strategic responses to resource dependence: how GNF, ANAF, and TNAF auditors navigate PCAOB remediation",Kenneth Bills,John Keyser,Marietta Peytcheva,Aleksandra Zimmerman,,,Michigan State University,Arizona State University,Lehigh University,Florida State University,,
Auditing,What does non-audit business mean to auditors and their clients? Evidence from examining Ernst & Young’s split events,Zhifeng Yang,Muzhi Wang,Jeffrey Pittman,,,,Stony Brook University,Central University of Finance and Economics,Memorial University of Newfoundland,,,
Auditing,Detecting structural breaks and anomalies in audit fees using foundational time-series forecasting AI,Markus Isack,Markus Mottinger,,,,,Vienna University of Economics and Business,LMU Munich,,,,
Auditing,Can the number of auditors in a market be positively associated with auditors’ pricing power?,Ling Chu,,,,,,,,,,,
Auditing,Who benefits from the audit failure of a BIG 4 firm?,Alain Schatt,,,,,,,,,,,
Auditing,Do auditors price the risk related to a restated statement of cash flows?,Angela Pettinicchio,Mara Cameran,Davide Arrighi,,,,Università Cattolica del Sacro Cuore,Bocconi University,,,,
Auditing,"Regulatory spillovers, board interlocks, and audit fees: evidence from comment letters",Beibei Yu,Marco Maria Mattei,Eleonora Monaco,Giovanni Cardillo,,,University of Bologna,University of Bologna,University of Bologna,,,
Auditing,Audit delay during regulatory relief of reporting deadline: evidence from Hong Kong,Belinda Yau,Jing Xue,Rubin Hao,,,,The Hang Seng University of Hong Kong,Xi’an Jiaotong-Liverpool University,,,,
Auditing,The impact of the Lithuanian national audit office’s performance audits on the creation of public value: auditees’ perspectives,Asta Šalienė,Daiva Tamulevičienė,,,,,Vilnius University,,,,,
Auditing,Audit in the dark: auditor responses to risk in the absence of authoritative guidance,Nhan Ha,Jun Nguyen,Beatriz Garcia Osma,W. Robert Knechel,,,IESEG School of Management,NHH Norwegian School of Economics,Universidad Carlos III de Madrid,,,
Auditing,Assurers’ perceptions of fraud risk in sustainability reporting,Laura Becker,Janine Maniora,Gregory Trompeter,,,,Heinrich Heine University Düsseldorf,Heinrich Heine University Düsseldorf,,,,
Auditing,Using artificial intelligence for fraud risk assessment: evidence from novice and experienced auditors,Marc Eulerich,David Wood,Scott Emett,Brant Christensen,,,University of Duisburg-Essen,Brigham Young University,Arizona State University,,,
Auditing,The cost of sustainability assurance – European evidence on the determinants of ESG assurance fees,Nicolas Frenzel,Sven Hörner,,,,,University of Potsdam,,,,,
Auditing,"Not mandatory but material: sustainability disclosure, reporting location, and auditor response around the world",June Cao,Zijie Huang,Ari Kristanto,,,,University of Southampton,Curtin University,,,,
Auditing,Green or gray auditors - who are the chosen ones for sustainability audits?,Lena Schäfer,Benedikt Downar,Christopher Koch,,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,University of Nuremberg,,,,
Auditing,The effectiveness of the UK’s viability statement in providing early warning signs of corporate distress,Ruizhe Wang,Nurul Alam,Stewart Jones,Shan Zhou,,,Macquarie University,The University of Sydney,University of Sydney,,,
Auditing,Cyber security risk disclosure and audit fees: evidence from machine learning-based risk measures,Atul Rai,Al Ghosh,Arun Upadhyay,,,,Wichita State University,University of North Carolina at Charlotte,,,,
Auditing,Geopolitical risk in the supply chain and audit implications,Mukesh Garg,John Campbell,Aldonio Ferreira,Mehdi Khedmati,Farhan Permana,,Monash University,University of Georgia,Monash University,Monash University,,
Auditing,The influence of gender diversity in auditor-audit committee interaction on audit report timeliness,Faradillah Amalia Rivai,Li-Jen He,Ching Yen Li,,,,National Yunlin University of Science and Technology,National Yunlin University of Science and Technology,,,,
Auditing,Enhancing talent by considering psychological safety in firm quality management systems: the effects of performance feedback on junior auditor help-seeking behavior,Regan Schmidt,Cameron Dubé,Brielle Perlett,,,,University of Saskatchewan,Westbridge Capital Ltd.,,,,
Auditing,The impact of board gender diversity on audit pricing: the case of Greek local governments,Sandra Cohen,Stergios Leventis,Ioanna Malkogianni,,,,Athens University of Economics and Business,International Hellenic University,,,,
Auditing,The roles of impairment analysis timing and auditor oversight in recording goodwill impairment losses,Lauren Cunningham,Tamara Lambert,Marcy Shepardson,,,,University of Tennessee at Knoxville,University of Manchester,,,,
Auditing,Government agency exposure and audit fees: business risk or external monitoring?,Chen Liu,Arpine Maghakyan,,,,,University of Glasgow,,,,,
Auditing,Non-audit services prohibition and fair value measurements: evidence from European Union banks,Giulio Greco,Velia Cenciarelli,Alessandro Gabrielli,,,,University of Pisa,Università Cattolica del Sacro Cuore,,,,
Auditing,Auditor personal values and professional scepticism - a qualitative study,Christo Karunananthan,Nithi Mohan,Prabanga Thoradeniya,,,,Monash University,Monash University,,,,
Auditing,"Roses given, fragrance in hand: clients’ charitable contributions in auditors’ hometowns and audit opinions",Kwok Tong Samuel Cheung,Egor Evdokimov,,,,,Deakin University,,,,,
Auditing,Do audit partners affect clients’ tax reporting?,Alisha Blush,William Buslepp,Kenneth Reichelt,,,,Coastal Carolina University,Louisiana State University,,,,
Auditing,Impact of enterprise intelligent upgrading on audit fees: evidence from China,Aolin Leng,Yue Zhang,Ming Jia,,,,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,
Auditing,Effects of nonfinancial audits of IPOs on green investment and audit quality,Emanuel Lederer,Kerstin Trummer,,,,,University of Graz,,,,,
Auditing,"SEC comment letters, auditor turnover and information asymmetry. Evidence from the banking industry",Davide Arrighi,Angela Pettinicchio,Mara Cameran,,,,Università Cattolica del Sacro Cuore,Università Cattolica del Sacro Cuore,,,,
Auditing,Safeguarding national security information: evidence from PCAOB international inspections and government procurement,Xiao Zhang,Jeffrey Ng,Jiawei Lu,,,,Shanghai University of Finance and Economics,The University of Hong Kong,,,,
Auditing,Understanding audit firm culture through the lens of the competing values framework,Ann Vanstraelen,Murray Barrick,Olof Bik,Jere Francis,Lena Pieper,,Maastricht University,Texas A&M,University of Groningen,,,
Accounting Education,The role of cultural context in shaping moral judgment: a comparative study of accounting students in Croatia and Slovenia,Maja Zaman Groff,Tina Vuko,Ivana Perica,Marko Čular,Mina Ličen,,University of Ljubljana,University of Split,University of Split,University of Split,,
Accounting Education,Re-thinking the role of corporate reporting: supporting students in the transition,Doug Stuart,Atinuke Chineme,Wenyu Zhou,Irene Herremans,,,University of Calgary,University of Calgary,University of Calgary,,,
Accounting Education,Making a choice among tax incentives,Wei Chern Koh,Tommy Yee,,,,,Singapore University of Social Sciences,,,,,
Accounting Education,Occupational licensing and labor market exit: evidence from continuing education requirements for accountants,Parth Shah,,,,,,,,,,,
Accounting Education,"Examining the links between achievement goals, students’ approaches to learning, and learning outcomes in accounting studies",Hannu Ojala,Heta Tuominen,Markku Niemivirta,Jari Huikku,,,University of Eastern Finland,University of Eastern Finland,University of Eastern Finland,,,
Accounting Education,What drives accounting career attractiveness? An analysis of individual characteristics,Sofia Lourenço,Iryna Alves,,,,,ISEG Lisbon School of Economics & Management,,,,,
Accounting Education,Climate awareness through active learning for young people and students (CATALYST),Elaine Doyle,Mary Curtin,Erin King,,,,University of Limerick,University of Limerick,,,,
Accounting Education,Wiki-based collaborative learning in accounting education: impact on academic performance and student perceptions,Lukas Schmidt,Andreas Seebeck,Johannes Voshaar,,,,Constructor University,Constructor University,,,,
Accounting Education,Testing the legitimacy of board examinations in the age of large language models: a stress test,Michelle Coetzee,Gideon Els,Nicolaas Strydom,,,,Akademia,University of Johannesburg,,,,
Accounting Education,Digitalization in managerial accounting education: evidence from German higher education,Janina Matern,Christian Beer,,,,,University of Hagen,,,,,
Accounting Education,Transforming professional accounting education: a social closure perspective,Karlien Dempsey,Karin Barac,,,,,University of Johannesburg,,,,,
Accounting Education,"Refining prompts, not delegating tasks: AI enhanced learning in climate accounting",Ozlem Arikan,,,,,,,,,,,
Accounting Education,Visual representations of sustainability frameworks. Their roles in education for sustainability accounting,Katherine Christ,Roger Burritt,Stefan Schaltegger,,,,Adelaide University,Australian National University,,,,
Accounting Education,Evolving sustainability integration in management accounting education: evidence from German universities,Ute Vanini,Janina Matern,,,,,Kiel University of Applied Sciences,,,,,
Accounting Education,From encounter to action: exploring walking as a pedagogy form with postgraduate accounting students in Scotland,Yanru Zou,,,,,,,,,,,
Accounting Education,A new approach in teaching bookkeeping (NABO) to improve performance for secondary school students: an instructional design based on cognitive load theory,Jens Verhofstadt,Patricia Everaert,Evelien Opdecam,,,,Ghent University,Ghent University,,,,
Accounting Education,Inner feedback in computational problem solving: which comparators support critical thinking?,Suzanne McCallum,David Nicol,,,,,University of Glasgow,University of Glasgow,,,,
Accounting Education,The impact of Chat GPT’s advice on professional judgment related with accounting and the role of accounting education,Satoshi Sugahara,Keita Kano,,,,,Kwansei Gakuin University,Prefectural University of Hiroshima,,,,
Accounting Education,Is it good to play? Exploring the voluntary use of a mobile game application in learning accounting,Hebattallah Aboulmaaty,Nermeen Shehata,,,,,ESSCA School of Management,American University in Cairo,,,,
Accounting Education,Engaging Generation Z in introductory accounting: survey evidence on learner-generated digital media and the talent pipeline,Monica Kabutey,Sudha Krishnan,Ping Lin,Jiarui (Iris) Zhang,,,"California State University, Long Beach","California State University, Long Beach","California State University, Long Beach","California State University, Long Beach",,
Financial Analysis,Third-party provision of carbon emission data and ESG ratings: evidence from climate TRACE,Igor Kadach,Minjae Koo,Grace Li,Meiling Zhao,,,IESE Business School,Korea University Business School,University of Rochester,,,
Financial Analysis,"Signaling the green light – green M&As, environmental materiality, and investor reactions",Jan Bauer,Yannik Gehrke,Jan Hennig,Michael Wolff,,,University of Göttingen,University of Hamburg,University of Groningen,,,
Financial Analysis,Lighting the green: the role of green bond sections in the European market,Maryna Gulenko,Pia Stoczek,,,,,Bielefeld University,,,,,
Financial Analysis,Analysts’ capital expenditure forecasts and bank debt contracting,Kristian Allee,Seraina Anagnostopoulou,Kamran Malikov,,,,University of Arkansas,University of Piraeus,,,,
Financial Analysis,The dynamic real effects of loan-loss provisioning methods on lending,Xiao Liu,,,,,,,,,,,
Financial Analysis,Social connectedness and the cost of bank loans,Christofer Adrian,Cameron Truong,Qinfang Li,Hui Guo,,,Monash University,Monash University,Monash University,,,
Financial Analysis,Are disclosed merger synergies realized?,Roberto Vincenzi,Xuanheng Huang,,,,,Bocconi University,,,,,
Financial Analysis,The role of earnings quality in addressing the acquisition premium puzzle for private equity funds,Jung Yeun (June) Kim,Nan Zhou,Linna Shi,,,,Rutgers University,"Lindner College of Business, University of Cincinnati",,,,
Financial Analysis,Business model change and cash flow forecast accuracy,Stephan Kaiser,,,,,,,,,,,
Financial Analysis,What do reorganization plans reveal about post-bankruptcy outcomes?,Wolfgang Breuer,Andreas Knetsch,Katharina Mersmann,,,,RWTH Aachen University,RWTH Aachen University,,,,
Financial Analysis,"Dirty hands, clean slates? Public corruption and the fate of bankrupt firms",Andreas Charitou,Nikolaos Kalyvas,Dimitrios Ntounis,,,,University of Cyprus,Kent Business School,,,,
Financial Analysis,Political lobbying and debt contracting: consequences of borrowers and lenders lobbying the same legislator,Derrald Stice,Junqiang Ke,Zhiming Ma,Lufei Ruan,Yunxiao Xu,,The University of Hong Kong,Central University of Finance And Economics,Peking University,San Francisco State University,,
Financial Analysis,Generative AI for analysts,Qian Zhang,Jian Xue,Wu Zhu,,,,Xiamen University,Tsinghua University,,,,
Financial Analysis,Sell-side analysts’ rating systems,Tzachi Zach,Rong Wang,Leonardo Madureira,Ohad Kadan,,,Ohio State University,Singapore Management University,Case Western Reserve University,,,
Financial Analysis,Chasing ‘star analyst’: the strategic shift in optimism,Yuqi Han,Chi Zhang,Chi Zhang,,,,Wenzhou-Kean University,University of Massachusetts Lowell,,,,
Financial Analysis,Information processing uncertainty and information rigidity,Yawen Qiu,,,,,,,,,,,
Financial Analysis,Industry externalities of activist short-selling: auditor propensity to issue going concern opinions,Matteo Merlo,,,,,,,,,,,
Financial Analysis,Short interest and earnings predictability,Chunchi Wu,Shu-Ling Wu,Wenhan Yang,,,,University at Buffalo,National Taiwan University,,,,
Financial Analysis,Retail investors’ asymmetric reaction to ESG controversies,Isabel van de Graaf,Kris Boudt,Marie-Laure Vandenhaute,,,,Vrije Universiteit Brussel,Vrije Universiteit Brussel,,,,
Financial Analysis,Quantitative research on main street: evidence from seeking alpha,Stanimir Markov,Jame Russell,Yuling Guo,,,,University of Texas at Dallas,University of Kentucky,,,,
Financial Analysis,Stock screeners and managers’ voluntary disclosure: evidence from retail dividend investors,Adriano Salerno,,,,,,,,,,,
Financial Analysis,The power of focus: how inventor-base concentration drives firm performance?,Jin Wang,,,,,,,,,,,
Financial Analysis,Do analysts value green innovation? – evidence from the U.S. patent ”lottery”,Yujing Ma,,,,,,,,,,,
Financial Analysis,Capital market reactions to green versus brown similar technological innovation potential in takeovers,Maximilian Golsong,Friedrich Sommer,,,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,,,,,
Financial Analysis,Forecasting long run earnings growth for global asset allocation,Yingtong Dai,Richard Harris,Isaac Randall,Yi Zhang,,,University of Bristol,University of Bristol,Randalls Wealth Management,,,
Financial Analysis,Disagreement and dispersion: the role of implied cost of capital uncertainty in market returns,Jan Klose,Brian von Knoblauch,,,,,University of Hannover,,,,,
Financial Analysis,Internal controls and newly public firms,Narayanan Venkatraman,Al Ghosh,,,,,University of North Carolina at Charlotte,,,,,
Financial Analysis,The information value of US-listed foreign firms’ earnings announcements,Elizabeth Demers,Stella Chen,,,,,University of Waterloo,,,,,
Financial Analysis,Compare the impact of Chinese and western values on corporate financial distress—evidence from Chinese list company,Jingwen Fan,Aolin Leng,,,,,Northwestern Polytechnical University,,,,,
Financial Analysis,Ideology meets politics: how expected presidential election outcomes influence insider trading by liberal top managers?,Bo Gao,Ling Lin Harris,,,,,The University of Texas At El Paso,,,,,
Financial Analysis,The effect of intraindustry information transfers on product market competition and voluntary disclosure,Margalit Samuel,Shai Levi,Versano Tsahi,,,,SKEMA Business School,Tel Aviv University,,,,
Financial Analysis,The changing influence of industry membership on corporate profitability,Dimitris Kanelis,Benjamin Noordermeer,Erik Peek,Patrick Vorst,,,Maastricht University,Maastricht University,Erasmus University Rotterdam,,,
Financial Analysis,"Industrial productivity, investment, and corporate performance expectations",Olga Chara Pavlopoulou,,,,,,,,,,,
Financial Analysis,Contrast effects and analyst forecasts,Hangyuan Shi,Michael (Minye) Tang,,,,,University of Glasgow,,,,,
Financial Analysis,Spillover effects of the EU sustainable finance disclosure regulation (SFDR) on U.S. open-end funds,April Klein,Qishen Fu,Ziqing Wang,,,,NYU Stern School of Business,NYU Stern School of Business,,,,
