Category,Name,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Uni_1,Uni_2,Uni_3,Uni_4,Uni_5,Uni_6,Uni_7,Uni_8,Uni_9,Uni_10,Uni_11,Uni_12,Uni_13,Uni_14,Uni_15,Uni_16
Financial Reporting,Different Types of Information Processing Costs and Voluntary Disclosure,Jung Min Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Bankruptcy Prediction Using Machine Learning Models: Analyst Forecast Information Content Perspective,Yun Hao,Tsung-Kang Chen,Hsien-Hsing Liao,Xue-Sheng Zhou,,,,,,,,,,,,,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,National Taiwan University,,,,,,,,,,,,,
Financial Reporting,Economists’ herding behavior and the presence of in-house corporate analysts,Andrea Bafundi,Claudia Imperatore,,,,,,,,,,,,,,,Università di Padova,,,,,,,,,,,,,,,
Financial Reporting,Does Accounting Conservatism Discipline Voluntary Disclosure? Evidence from Corporate Political Spending,Mahmoud Nasr,Alaa Zalata,,,,,,,,,,,,,,,University of Southampton,,,,,,,,,,,,,,,
Financial Reporting,When Silence Speaks Louder: Litigation Risk and Investor Responses to Year-over-year Similarity of MD&A Disclosure,Vincent Lin,Sheryl Zhang,,,,,,,,,,,,,,,Washington University in St. Louis,,,,,,,,,,,,,,,
Financial Reporting,Recognition of Research and Development in Private Firms,Emmeli Runesson,Marita Blomkvist,Jan Marton,Niuosha Samani,,,,,,,,,,,,,University of Gothenburg,University of Gothenburg,University of Gothenburg,,,,,,,,,,,,,
Financial Reporting,Risk Migration from the Banking Industry to the Real Economy: An Examination of Spillover from Basel III,JingWen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Transparency and Real Effects of Banks’ Climate Stress Tests,GerritVon Zedlitz,Jannis Bischof,Vincent Giese,Luzi Hail,,,,,,,,,,,,,University of Mannheim,University of Mannheim,University of Mannheim,,,,,,,,,,,,,
Financial Reporting,Central bank independence and accounting choice,Igor Goncharov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Too High to Make It Right: Marijuana Liberalization and Financial Misreporting,Ting-Chiao Huang,Jin Zhang,,,,,,,,,,,,,,,Monash University,,,,,,,,,,,,,,,
Financial Reporting,Sleep Deprivation and Financial Misreporting,Ashiq Ali,Zhongwen Fan,KaiWai Hui,Siman Li,,,,,,,,,,,,,University of Texas at Dallas,City University of Hong Kong,University of Hong Kong,,,,,,,,,,,,,
Financial Reporting,The dark side of accounting flexibility: Firms’ opportunistic response to government aid policies in times of crisis,Seraina Anagnostopoulou,Marco Maria Mattei,Matteo Merlo,Eleonora Monaco,,,,,,,,,,,,,University of Piraeus,University of Bologna,University of Bologna,,,,,,,,,,,,,
Financial Reporting,Can a Minor Regulatory Intervention Lower Corporate Borrowing Costs?,Hui Tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Estimating Normal Loan Loss Provisions under the ECL model,Daniel Dejuan-Bitria,Javier Gómez-Biscarri,,,,,,,,,,,,,,,Banco de España,,,,,,,,,,,,,,,
Financial Reporting,Credit information sharing among lenders and the debt contracting value of borrowers’ accounting information,Fangfang Hou,Yingshuang Ma,Byron Song,,,,,,,,,,,,,,Xiamen University,Hong Kong Baptist University,,,,,,,,,,,,,,
Financial Reporting,Accounting for Equity Instruments: Does IFRS 9 Deter Gains-Trading or Long-Term Investments?,Clemens Lauer,Holger Daske,Jannis Bischof,,,,,,,,,,,,,,University of Mannheim,University of Mannheim,,,,,,,,,,,,,,
Financial Reporting,IFRS 17 and the Decision-Usefulness of Insurers’ Financial Reporting Information,Merjona Lamaj,Zoltan Novotny-Farkas,Lukas Obernauer,,,,,,,,,,,,,,WUVienna,WUVienna,,,,,,,,,,,,,,
Financial Reporting,Litigation Loss Contingency Disclosures and Firm-level Stock Price Crash Risk,Yu-Fang Chu,Rebecca Files,Hsin-Yi Huang,Ming-Yu Liu,,,,,,,,,,,,,National Taiwan University,Baylor University,National Cheng Kung University,,,,,,,,,,,,,
Financial Reporting,Regulated Boards and Accounting Conservatism,Bilal Al-Dah,Mustafa Dah,Mostafa Harakeh,,,,,,,,,,,,,,Kean University,Lebanese American University,,,,,,,,,,,,,,
Financial Reporting,Unveiling RPTs: Are All RPTs Equal in Value Relevance of Accounting Information?,Jinah Hwang,Doocheol Moon,Goun Kim,,,,,,,,,,,,,,Yonsei University,Yonsei University,,,,,,,,,,,,,,
Financial Reporting,Acquisitions and Conditional Accounting Conservatism,Johanna Kling,Niklas Meyer,Martin Glaum,,,,,,,,,,,,,,WHU - Otto Beisheim School of Management,Vrije Universiteit Amsterdam,,,,,,,,,,,,,,
Financial Reporting,Becoming Invisible? Data Breach Risk and Corporate Secrecy,Tim Martens,Christoph Sextroh,Xiaochi Ge,Christelle Alkhoury,,,,,,,,,,,,,Bocconi University,University of Oldenburg,University of Bristol,,,,,,,,,,,,,
Financial Reporting,Insider Trading With Options,Matteo Vacca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Does ASC842 increase the usefulness of Balance Sheet—Evidence from private debt markets,Jiayin Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,How does management guidance affect investors’ responses to earnings announcements?,Kanyuan Huang,Henry Friedman,Zitong Zeng,Kaiwen Wu,,,,,,,,,,,,,CUHK-Shenzhen,"University of California-Los Angeles, Anderson School",University of California-Los Angeles,,,,,,,,,,,,,
Financial Reporting,CEO Tenure and the Redaction of Information from Material Contracts,Xingyuan Fei,Gopal Krishnan,,,,,,,,,,,,,,,Texas A&M University – San Antonio,,,,,,,,,,,,,,,
Financial Reporting,Compensating for Responsibility: The Effect of CSR Contracting on Annual Report Readability,Yong-Chul Shin,Lakhal Faten,Itidel Ben Saad,Hamza Nizar,Ehsan Almoataz,,,,,,,,,,,,University of Massachusetts Boston,Léonard de Vinci Pôle Universitaire,University of Sousse,IHEC Carthage,,,,,,,,,,,,
Financial Reporting,Talking about the Future to Address the Legitimacy Gap: Data Breaches and Forward-Looking Performance Disclosure,Yanlei Zhang,Vivek Raval,,,,,,,,,,,,,,,Copenhagen Business School,,,,,,,,,,,,,,,
Financial Reporting,The Verification Role of Alternative Data,Jing Pan,Matthew Ma,Rick Mergenthaler,Pascal Schrader,,,,,,,,,,,,,Penn State University,Rutgers University,Penn State University,,,,,,,,,,,,,
Financial Reporting,Do Related Party Transactions enable Unethical Behavior? Evidence from Tax Avoidance,Moataz Elhelaly,Salim Chahine,Omrane Guedhami,,,,,,,,,,,,,,American University in Cairo,Banque Du Liban,,,,,,,,,,,,,,
Financial Reporting,Employees’ AI skills and the relevance of accounting information,Daniel Taylor,EuniceYaa Cudjoe,,,,,,,,,,,,,,,IÉSEG School of Management,,,,,,,,,,,,,,,
Financial Reporting,Operating Expense P&L Disaggregation: A Cross-Country Study of Determinants and Consequences,MarkWallis,Matthew Pinnuck,,,,,,,,,,,,,,,University of Queensland,,,,,,,,,,,,,,,
Financial Reporting,How to Select Targets for Investigations? Evidence from Financial Reporting Enforcement,Alicia Schott,Martin Nienhaus,Christopher Oehler,Marius Gros,,,,,,,,,,,,,Ruhr University Bochum,Ruhr University Bochum,Ruhr University Bochum,,,,,,,,,,,,,
Financial Reporting,Audit Committee Directors’ Related Industry Knowledge and Financial Reporting Quality,Guojin Gong,An-Ping Lin,Shuqing Luo,Xin Qu,,,,,,,,,,,,,University of Connecticut,Singapore Management University,University of Hong Kong,,,,,,,,,,,,,
Financial Reporting,The role of reporting frequency in shaping shareholder horizon: implications for corporate myopia,HwaYoung Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Influence of Peer CEO Compensation on Earnings Management: The Moderating Role of CEO Greed,Abdullah Alhossini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,"US cross-listing and trade-off between accrual and real earnings management, the European evidence",Xiaoyu Niu,Philippe Touron,,,,,,,,,,,,,,,Université Paris 1 Panthéon-Sorbonne,,,,,,,,,,,,,,,
Financial Reporting,Managers’ Self-Reported Earnings Management Practices: Experimental Evidence from Private Firms,Yuhan Liu,Jannis Bischof,Davud Rostam-Afschar,,,,,,,,,,,,,,University of Mannheim,University of Mannheim,,,,,,,,,,,,,,
Financial Reporting,Abnormal Audit Fee and Financial Fraud,Feng Xiong,Yayuan Zheng,Yue Su,Shengnan Li,Ning Cai,,,,,,,,,,,,Xiamen University,Xiamen University,Xiamen University,Xiamen University,,,,,,,,,,,,
Financial Reporting,Accounting Disclosure and Regulatory Intervention—Evidence at the Bank Holding Company Level,Lemonia Marina Rempoutsika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Disclosure regulation around the world: data and descriptive analysis,Ulf Bruggemann,Christian Bernard,Jonas Materna,,,,,,,,,,,,,,Humboldt University of Berlin,Humboldt University of Berlin,,,,,,,,,,,,,,
Financial Reporting,Influence of Regulatory Regime and Firm Size on Reporting of Discontinued Operations,Yoshie Saito,Richard Lord,,,,,,,,,,,,,,,Brooklyn College,,,,,,,,,,,,,,,
Financial Reporting,Determinants and Consequences of Withholding Sales and the Cost of Sales: Evidence from Small Private Firms,Dennis Sundvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Understanding Decision Making in Accounting—A literature review of the experimental use of neuroscientific technologies,Nina Limberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,The Proprietary Costs of Transparency: Strategic Patenting Under Financial Reporting Mandates,Li Azinovic-Yang,Yue Chen,Shunsuke Matsuno,Sunho Yoo,,,,,,,,,,,,,University of Chicago,Chinese University of Hong Kong,Columbia University,,,,,,,,,,,,,
Financial Reporting,Digital Transformation Overemphasis in Earnings Conference Calls: Do Investors Misinterpret its Importance?,Can Nalci,Sebastian Firk,Vlad-Andrei Porumb,Simona Rusanescu,,,,,,,,,,,,,University of Groningen,University of Groningen,University of Manchester,,,,,,,,,,,,,
Financial Reporting,Global Standards Bridging Borders: The Transformative Role of Foreign Investors in Carbon Reporting Transparency and Accountability,Shumi Akhtar,Jiongcheng Lu,Ruijia Zhan,,,,,,,,,,,,,,University of Sydney,University of Sydney,,,,,,,,,,,,,,
Financial Reporting,Trust and SEC Investigations,Meiling Zhao,Francois Brochet,Kelvin Yeung,,,,,,,,,,,,,,Chinese University of Hong Kong,Boston University,,,,,,,,,,,,,,
Financial Reporting,Impact of ASC 606 on the Cost of Debt: Implications for Expanding the Use of Principles-Based Accounting Standards,Gil Sadka,Shinwoo Lee,Kyungran Lee,,,,,,,,,,,,,,University of Texas at Dallas,Hong Kong Baptist University,,,,,,,,,,,,,,
Financial Reporting,The Shadow Price of Workforce Satisfaction: Evidence from Defined Benefit Pension Plans,Annita Florou,Peter Pope,Meng Li,Nipat Puangjampa,,,,,,,,,,,,,Bocconi University,London School of Economics and Political Science,University of Oklahoma,,,,,,,,,,,,,
Financial Reporting,Bankruptcy Prediction Using the Text-Based Communicative Value of Earnings Call Transcripts,Tsung-Kang Chen,Yun Hao,Yu-Chun Lin,,,,,,,,,,,,,,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,,,,,,,,,,,,,,
Financial Reporting,"Market for Corporate Control, Stock Market Feedback, and Investment Efficiency: Evidence from International M&A Laws",Jong Chool Park,Jay Lee,Bo Xu,,,,,,,,,,,,,,University of South Florida,University of Massachusetts Boston,,,,,,,,,,,,,,
Financial Reporting,Operating Lease Accounting and Firms’ Financing Decisions,Xinyuan Shao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,LongFinBERT: A Language Model for Very Long Financial Documents,Minh Tri Phan,Erik-Jan Senn,,,,,,,,,,,,,,,University of Basel,,,,,,,,,,,,,,,
Financial Reporting,Credibility and reputation concerns: Evidence from X users,Louis Mangeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Why voluntarily adopting US firms drop the direct method for disclosing cash flows from operating activities?,Baljit Sidhu,Chuan Yu,,,,,,,,,,,,,,,University of Sydney,,,,,,,,,,,,,,,
Financial Reporting,Re-Standardized Financial Statement Data,Federico Siano,Matthew Lyle,Teri Yohn,,,,,,,,,,,,,,University of Texas at Dallas,affiliation not provided,,,,,,,,,,,,,,
Financial Reporting,How Does Recognition of Forward-Looking Estimates Affect Learning about the Macroeconomy? Evidence from CECL,Ally Lin,Oliver Binz,Matthew Phillips,,,,,,,,,,,,,,ESMT Berlin,ESMT Berlin,,,,,,,,,,,,,,
Financial Reporting,Centralized Electronic Reporting and Disclosure Informativeness: Evidence from a Top-Down Regulatory Change in Germany,Reeyarn Li,Stephan Kaiser,Soenke Sievers,,,,,,,,,,,,,,Paderborn University,Paderborn University,,,,,,,,,,,,,,
Financial Reporting,Best Companies to Work For and Firm Performance: The Role of Managerial Pessimism,Xinlun Song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,CEO Accounting Background and SEC Comment Letters,Yu-Chun Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Corporate use of artificial intelligence and subsequent product market performance,Jeff Wang,Jennifer Tucker,Ran Zhao,,,,,,,,,,,,,,San Diego State University,University of Florida,,,,,,,,,,,,,,
Financial Reporting,The Paradox of Cybersecurity Reporting: A Textual Analysis of European Disclosure Practices,Elodie Behnam,Kevin Gauch,Enrico Prinz,Laura Schaffner,,,,,,,,,,,,,University of Strasbourg,Technical University of Darmstadt,University of Strasbourg,,,,,,,,,,,,,
Financial Reporting,Pressures from Parallels: Accounting Information Comparability and Excessive R&D Intensity,Tianze Li,Zijian Cheng,Zhangxin (Frank) Liu,Qian Li,,,,,,,,,,,,,Shandong University,Shandong University,University of Western Australia,,,,,,,,,,,,,
Financial Reporting,Do zombie firms manipulate earnings?,Laura Parte,María Del Mar Camacho-Miñano,Domenico Campa,José Jimenez-Mazario,,,,,,,,,,,,,Universidad Nacional de Educación a Distancia,Universidad Complutense de Madrid,International University of Monaco,,,,,,,,,,,,,
Financial Reporting,Experimental Examination of the Effect of IFRS 18 regulation of Management-defined Performance Measures,Sameera Khatoon,Linda Thorne,Nicolas Epelbaum,,,,,,,,,,,,,,University of Saskatchewan,York University,,,,,,,,,,,,,,
Financial Reporting,The Effects of Risk Factor Disclosures on the Stock Price Crash Risk of Firms,Hsiaowen Wang,Chia-Hsun Hsieh,,,,,,,,,,,,,,,National Central University,,,,,,,,,,,,,,,
Financial Reporting,Revenue-Expense Matching and Business Cycle,João Paulo Ribeiro,Elizangela Castro,Patrícia Pain,Suliani Rover,,,,,,,,,,,,,Federal University of Santa Catarina,Federal University of Santa Catarina,Universidade Federal do Espírito Santo,,,,,,,,,,,,,
Financial Reporting,The Effects of Human Capital Disclosures on Professional Investors’ Assessments of Firm Risk,Ethan Rouen,Lisa Laviers,Jason Sandvik,Robert Jennings,,,,,,,,,,,,,Harvard Business School,Tulane University,University of Arizona,,,,,,,,,,,,,
Financial Reporting,Changes in Firms’ Business Models and Accrual Estimation,Stephan Kaiser,Benedikt Franke,Frederic Schlackl,Reeyarn Li,Soenke Sievers,,,,,,,,,,,,Paderborn University,University of Würzburg,HEC Montréal,Paderborn University,,,,,,,,,,,,
Financial Reporting,Corporate Crypto Holdings and Analysts’ Forecasting Environment,Nikolaos Tsileponis,Yi Huang,Adriana Korczak,,,,,,,,,,,,,,University of Bristol,University of Bristol,,,,,,,,,,,,,,
Financial Reporting,On the contemporaneous reporting of income increasing and income decreasing special items: initial evidence,James Potepa,Kalin Kolev,,,,,,,,,,,,,,,American University,,,,,,,,,,,,,,,
Financial Reporting,The Usefulness of Cryptocurrency Disclosures: Evidence from U.S. public firms,Thinh Nguyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Mandatory Forecasts and Debt Markets,Ruth Rooz,Benjamin Segal,,,,,,,,,,,,,,,Stern (Ariel University),,,,,,,,,,,,,,,
Financial Reporting,Surplus Reduction and Personal Incentives in the Government Sector,Xi Chen,Gilles Hilary,Amanda Beck,,,,,,,,,,,,,,University of Bristol,"Georgetown University, McDonough School of Business",,,,,,,,,,,,,,
Financial Reporting,Dissecting Insider Sales,Juliane Wutzler,Amir Amel-Zadeh,,,,,,,,,,,,,,,Worms University of Applied Sciences,,,,,,,,,,,,,,,
Financial Reporting,Patent Collateral Value Verification and Credit Constraints,Jessica Kim-Gina,Aytekin Ertan,Muskan Chawla,,,,,,,,,,,,,,Chapman University,London Business School,,,,,,,,,,,,,,
Financial Reporting,Pay Inequality and Job Satisfaction: Evidence from Glassdoor,Clifton Green,Stanimir Markov,Dexin Zhou,,,,,,,,,,,,,,Emory University,University of Texas at Dallas,,,,,,,,,,,,,,
Financial Reporting,Intermediaries under the Spotlight: Transparency of Pharmacy Benefit Managers and Medicare Part D Drug costs,Nicola Maria Fiore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Mandatory Disclosure and Voluntary CEO Departure,Young Jun Cho,Jaewoo Kim,Hojun Seo,Yucheng (John) Yang,,,,,,,,,,,,,Singapore Management University,University of Oregon,Purdue University,,,,,,,,,,,,,
Financial Reporting,The impact of credit rating reports’ sentiment and readability on analysts’ forecasting—Application of neural network models,Ujjal Mondal,Ana Marques,Fabio Motoki,Patrycja Klusak,,,,,,,,,,,,,Durham University,University of East Anglia / Universidade NOVA de Lisboa,University of East Anglia,,,,,,,,,,,,,
Financial Reporting,Patent Privateering,Jenny Li Zhang,Jinhwan Kim,Kristen Valentine,Yuxiang Zheng,,,,,,,,,,,,,University of British Columbia,Stanford University,University of Georgia,,,,,,,,,,,,,
Financial Reporting,Enterprise System Standardization and Firm Information Provision,Wen Chen,Haibin Wu,Jeong-Bon Kim,Chengxin Cao,Zihui Li,,,,,,,,,,,,City University of Hong Kong,City University of Hong Kong,City University of Hong Kong,"CUNY, Baruch College",,,,,,,,,,,,
Financial Reporting,From Accounting to Commercial Lending: Can Earnings Information Predict Credit Firms and Households Credit Growth?,Indra Tumbelaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Do Small Audit Firms Strategically Respond to PCAOB Reports?,Encarna Guillamon Saorin,Andres Guiral,Miguel Minutti-Meza,Doocheol Moon,,,,,,,,,,,,,Carlos III University of Madrid,Yonsei University,University of Miami,,,,,,,,,,,,,
Financial Reporting,Non-GAAP Reporting and Investor Relations,Luke Phelps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Do Machine-readable Disclosures Facilitate Regulatory Scrutiny? Evidence from SEC Comment Letters,Xin Xu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,When Smoke and Mirrors Fail: Strategic Climate Disclosures and Investor Skepticism,Hyunjung Rim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Cost Anchoring in Fair Value Estimation,Thomas Hagenberg,Leslie Hodder,Spencer Anderson,Yuze Xia,,,,,,,,,,,,,Northwestern University,Indiana University,Indiana University,,,,,,,,,,,,,
Financial Reporting,Informational mosaic effect and discretionary disclosure (new version),Manuel Nunez-Nickel,Paulo Maduro,Gilberto Marquez-Illescas,,,,,,,,,,,,,,Universidad Carlos III de Madrid,Universidad Carlos III de Madrid,,,,,,,,,,,,,,
Financial Reporting,Economic Consequences of Bias in Fair Value Accounting: Evidence from the Korean Bond Markets,Doyeon Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Commitment through Forecasting: Managerial Buyback Guidance and Payout Policy,Zachary Kaplan,Lauren Vollon,Adriano Salerno,,,,,,,,,,,,,,Washington University in St. Louis,"University of Notre Dame,Mendoza College of Business",,,,,,,,,,,,,,
Financial Reporting,Do Investors Trade on Stale Earnings Information? Evidence from China,Kevin Li,Liuchuang Li,,,,,,,,,,,,,,,University of Adelaide,,,,,,,,,,,,,,,
Financial Reporting,Hiding in Plain Sight: Do Investors Price the Likelihood of Future Opportunism in Non-GAAP Earnings?,Keehea Moon,Edgar Rodriguez-Vazquez,,,,,,,,,,,,,,,George Washington University,,,,,,,,,,,,,,,
Financial Reporting,Do capital markets anticipate financial restatements?,Christian Tischer,Michael Grüning,,,,,,,,,,,,,,,Ilmenau University of Technology,,,,,,,,,,,,,,,
Financial Reporting,The determinants of IFRS abandonment process: firm-level evidence from Italy,Luca Baccarini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Firm-Level Political Risk and Accounting Conservatism,Safa Gaaya,Moez Essid,Adel Beldi,Itidel Ben Saad,,,,,,,,,,,,,Ecole de Commerce et de Management à Paris,Ecole de Commerce et de Management à Paris,IÉSEG School of Management,,,,,,,,,,,,,
Financial Reporting,On the shoulders of giants: (How) Does Mandating Annual Report Discourse on Strategy and Business Model Improve Transparency About Value Creation?,Mahmoud Gad,Sam Rawsthorne,Steven Young,,,,,,,,,,,,,,Lancaster University,Lancaster University,,,,,,,,,,,,,,
Financial Reporting,Internally Generated Intangible Capital and Information Uncertainty: The Mediating Role of Narrative Disclosures,Xinyi Peng,Rong Zhao,,,,,,,,,,,,,,,University of Calgary,,,,,,,,,,,,,,,
Financial Reporting,Corporate governance profiles and accounting conservatism in European financial institutions,Virpi Haaramo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,1. ADR intra-sector spillover effect on accrual based earnings management,"DanteViana, Jr.",Isabel Lourenço,,,,,,,,,,,,,,,University of Algarve,,,,,,,,,,,,,,,
Financial Reporting,2. Determinants of Textual Dissimilarity in 10-K Risk Disclosures,Kevin Gauch,Iuliia Gauch,Reiner Quick,Christian Friedrich,,,,,,,,,,,,,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt,,,,,,,,,,,,,
Financial Reporting,"3. Does size matter? A comparative study of earnings management across small, medium and large private and publicly listed companies in the UK",Ivana Rozic,Salma Ibrahim,George Giannopoulos,,,,,,,,,,,,,,"Cardiff University, Cardiff Business School",Kingston University,,,,,,,,,,,,,,
Financial Reporting,1. Accounting Standard-Induced Regulatory Capital Management: Evidence from the New Lease Accounting Standard ASC 842,Makafui Anani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,"2. Let them “fake it until they make it”: half-truth disclosure, signaling and the unintended drawback of mandatory certification",Loïc Belze,Francois Larmande,,,,,,,,,,,,,,,Emlyon Business School,,,,,,,,,,,,,,,
Financial Reporting,3. Disclosure Effects of a Non-Financial Reporting Mandate: A Topic Modeling Approach,Bianca Minuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,1. Unravel Unraveling,Xiang Zheng,Qi Zhang,,,,,,,,,,,,,,,Nanyang Technological University,,,,,,,,,,,,,,,
Financial Reporting,2. Measuring Sustainability Reporting Quality: A Retrieval-Augmented Generation Approach,Qi Zhang,Yi-Chun Chen,Tse-Chun Lin,,,,,,,,,,,,,,Chinese University of Hong Kong,City University of Hong Kong,,,,,,,,,,,,,,
Financial Reporting,3. Uncertain Information Advantage and Price Discovery: Evidence from Data Vendor Dissemination Differences,Elsa Maria Juliani,Karthik Balakrishnan,Lakshmanan Shivakumar,DavidWilson,,,,,,,,,,,,,INSEAD,Rice University,London Business School,,,,,,,,,,,,,
Financial Reporting,1. Does Investors’ Utilization of Technologies Discourage Firms’Disclosure? Evidence from Archival and Experimental Analyses,Songyi Han,Cai Chen,Mike Mai,,,,,,,,,,,,,,NHH - Norwegian School of Economics,INSEAD,,,,,,,,,,,,,,
Financial Reporting,How executive turnover affects earnings announcement disclosure content and formatting choices,Lars Knorren,Mate Szeles,Jeremiah Bentley,,,,,,,,,,,,,,Tilburg University,Tilburg University,,,,,,,,,,,,,,
Financial Reporting,Human Capital Disclosure and Debt Contracting,Ming Cherng Deng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,The Effect of IFRS 16 on the Propensity to Announce Share Repurchases,Ni-Yun Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,"Non-GAAP earnings reporting by european companies: comparability of non-GAAP earnings, transparency and quality of non-GAAP adjustments",Djibrilla Aziz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Devils Is in the Details: The Consequences of Firm-Specific Cybersecurity Risk Disclosure,Won No,Kyungha Lee,Arion Cheong,,,,,,,,,,,,,,Rutgers University,Rutgers University,,,,,,,,,,,,,,
Financial Reporting,Do natural disasters affect investment efficiency?,Lin-Hui Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
