,x,y,year,topic,category,authors
17,5.747301,6.047355,2025,When Silence Speaks Louder: Litigation Risk and Investor Responses to Year-over-year Similarity of MD&A Disclosure,Financial Reporting,"Vincent Lin, Sheryl Zhang"
18,5.7036114,6.894671,2025,Recognition of Research and Development in Private Firms,Financial Reporting,"Emmeli Runesson, Marita Blomkvist, Jan Marton, Niuosha Samani"
19,4.896422,7.1808643,2025,Risk Migration from the Banking Industry to the Real Economy: An Examination of Spillover from Basel III,Financial Reporting,JingWen
20,4.9052153,7.647187,2025,Transparency and Real Effects of Banks’ Climate Stress Tests,Financial Reporting,"GerritVon Zedlitz, Jannis Bischof, Vincent Giese, Luzi Hail"
21,4.607249,6.171903,2025,Central bank independence and accounting choice,Financial Reporting,Igor Goncharov
22,3.4555387,3.359442,2025,Too High to Make It Right: Marijuana Liberalization and Financial Misreporting,Financial Reporting,"Ting-Chiao Huang, Jin Zhang"
23,3.7860835,4.8307033,2025,Sleep Deprivation and Financial Misreporting,Financial Reporting,"Ashiq Ali, Zhongwen Fan, KaiWai Hui, Siman Li"
24,2.8626993,4.2295604,2025,The dark side of accounting flexibility: Firms’ opportunistic response to government aid policies in times of crisis,Financial Reporting,"Seraina Anagnostopoulou, Marco Maria Mattei, Matteo Merlo, Eleonora Monaco"
25,4.975858,7.042028,2025,Can a Minor Regulatory Intervention Lower Corporate Borrowing Costs?,Financial Reporting,Hui Tan
26,5.1194754,6.2948813,2025,Estimating Normal Loan Loss Provisions under the ECL model,Financial Reporting,"Daniel Dejuan-Bitria, Javier Gómez-Biscarri"
27,5.19539,6.2105303,2025,Credit information sharing among lenders and the debt contracting value of borrowers’ accounting information,Financial Reporting,"Fangfang Hou, Yingshuang Ma, Byron Song"
28,1.4003437,3.5858254,2025,Accounting for Equity Instruments: Does IFRS 9 Deter Gains-Trading or Long-Term Investments?,Financial Reporting,"Clemens Lauer, Holger Daske, Jannis Bischof"
29,1.4068891,3.5558736,2025,IFRS 17 and the Decision-Usefulness of Insurers’ Financial Reporting Information,Financial Reporting,"Merjona Lamaj, Zoltan Novotny-Farkas, Lukas Obernauer"
30,5.6482306,5.8613195,2025,Litigation Loss Contingency Disclosures and Firm-level Stock Price Crash Risk,Financial Reporting,"Yu-Fang Chu, Rebecca Files, Hsin-Yi Huang, Ming-Yu Liu"
31,4.200003,6.097802,2025,Regulated Boards and Accounting Conservatism,Financial Reporting,"Bilal Al-Dah, Mustafa Dah, Mostafa Harakeh"
32,2.3745818,4.8930807,2025,Unveiling RPTs: Are All RPTs Equal in Value Relevance of Accounting Information?,Financial Reporting,"Jinah Hwang, Doocheol Moon, Goun Kim"
33,4.2853518,6.2321453,2025,Acquisitions and Conditional Accounting Conservatism,Financial Reporting,"Johanna Kling, Niklas Meyer, Martin Glaum"
34,6.954296,7.084642,2025,Becoming Invisible? Data Breach Risk and Corporate Secrecy,Financial Reporting,"Tim Martens, Christoph Sextroh, Xiaochi Ge, Christelle Alkhoury"
35,5.3190875,6.484988,2025,Insider Trading With Options,Financial Reporting,Matteo Vacca
36,4.591134,4.8852096,2025,Does ASC842 increase the usefulness of Balance Sheet—Evidence from private debt markets,Financial Reporting,Jiayin Li
37,5.972404,5.391395,2025,How does management guidance affect investors’ responses to earnings announcements?,Financial Reporting,"Kanyuan Huang, Henry Friedman, Zitong Zeng, Kaiwen Wu"
38,6.102158,6.5855618,2025,CEO Tenure and the Redaction of Information from Material Contracts,Financial Reporting,"Xingyuan Fei, Gopal Krishnan"
39,4.947759,4.1825337,2025,Compensating for Responsibility: The Effect of CSR Contracting on Annual Report Readability,Financial Reporting,"Yong-Chul Shin, Lakhal Faten, Itidel Ben Saad, Hamza Nizar, Ehsan Almoataz"
40,6.858247,6.9415956,2025,Talking about the Future to Address the Legitimacy Gap: Data Breaches and Forward-Looking Performance Disclosure,Financial Reporting,"Yanlei Zhang, Vivek Raval"
41,6.7744694,6.8426824,2025,The Verification Role of Alternative Data,Financial Reporting,"Jing Pan, Matthew Ma, Rick Mergenthaler, Pascal Schrader"
42,3.5144453,3.045096,2025,Do Related Party Transactions enable Unethical Behavior? Evidence from Tax Avoidance,Financial Reporting,"Moataz Elhelaly, Salim Chahine, Omrane Guedhami"
43,0.57993364,5.448642,2025,Employees’ AI skills and the relevance of accounting information,Financial Reporting,"Daniel Taylor, EuniceYaa Cudjoe"
44,3.8149202,4.746356,2025,Operating Expense P&L Disaggregation: A Cross-Country Study of Determinants and Consequences,Financial Reporting,"MarkWallis, Matthew Pinnuck"
45,6.4085684,3.098948,2025,How to Select Targets for Investigations? Evidence from Financial Reporting Enforcement,Financial Reporting,"Alicia Schott, Martin Nienhaus, Christopher Oehler, Marius Gros"
46,5.688269,2.612373,2025,Audit Committee Directors’ Related Industry Knowledge and Financial Reporting Quality,Financial Reporting,"Guojin Gong, An-Ping Lin, Shuqing Luo, Xin Qu"
47,4.491734,7.685059,2025,The role of reporting frequency in shaping shareholder horizon: implications for corporate myopia,Financial Reporting,HwaYoung Kim
48,3.1615033,6.0192895,2025,Influence of Peer CEO Compensation on Earnings Management: The Moderating Role of CEO Greed,Financial Reporting,Abdullah Alhossini
49,5.161453,4.729485,2025,"US cross-listing and trade-off between accrual and real earnings management, the European evidence",Financial Reporting,"Xiaoyu Niu, Philippe Touron"
50,5.353054,4.9694185,2025,Managers’ Self-Reported Earnings Management Practices: Experimental Evidence from Private Firms,Financial Reporting,"Yuhan Liu, Jannis Bischof, Davud Rostam-Afschar"
51,5.3854227,2.1128695,2025,Abnormal Audit Fee and Financial Fraud,Financial Reporting,"Feng Xiong, Yayuan Zheng, Yue Su, Shengnan Li, Ning Cai"
52,4.6328216,6.1504045,2025,Accounting Disclosure and Regulatory Intervention—Evidence at the Bank Holding Company Level,Financial Reporting,Lemonia Marina Rempoutsika
53,6.375857,7.126996,2025,Disclosure regulation around the world: data and descriptive analysis,Financial Reporting,"Ulf Bruggemann, Christian Bernard, Jonas Materna"
54,5.5701075,7.2536297,2025,Influence of Regulatory Regime and Firm Size on Reporting of Discontinued Operations,Financial Reporting,"Yoshie Saito, Richard Lord"
55,4.848279,3.2847462,2025,Determinants and Consequences of Withholding Sales and the Cost of Sales: Evidence from Small Private Firms,Financial Reporting,Dennis Sundvik
56,0.6412486,5.4320807,2025,Understanding Decision Making in Accounting—A literature review of the experimental use of neuroscientific technologies,Financial Reporting,Nina Limberg
57,5.8289285,6.8368034,2025,The Proprietary Costs of Transparency: Strategic Patenting Under Financial Reporting Mandates,Financial Reporting,"Li Azinovic-Yang, Yue Chen, Shunsuke Matsuno, Sunho Yoo"
58,6.1623588,5.593753,2025,Digital Transformation Overemphasis in Earnings Conference Calls: Do Investors Misinterpret its Importance?,Financial Reporting,"Can Nalci, Sebastian Firk, Vlad-Andrei Porumb, Simona Rusanescu"
59,4.9446235,9.19799,2025,Global Standards Bridging Borders: The Transformative Role of Foreign Investors in Carbon Reporting Transparency and Accountability,Financial Reporting,"Shumi Akhtar, Jiongcheng Lu, Ruijia Zhan"
60,6.4210696,3.2433238,2025,Trust and SEC Investigations,Financial Reporting,"Meiling Zhao, Francois Brochet, Kelvin Yeung"
61,4.498746,4.8182926,2025,Impact of ASC 606 on the Cost of Debt: Implications for Expanding the Use of Principles-Based Accounting Standards,Financial Reporting,"Gil Sadka, Shinwoo Lee, Kyungran Lee"
62,2.9719825,5.5413594,2025,The Shadow Price of Workforce Satisfaction: Evidence from Defined Benefit Pension Plans,Financial Reporting,"Annita Florou, Peter Pope, Meng Li, Nipat Puangjampa"
63,5.520933,5.889837,2025,Bankruptcy Prediction Using the Text-Based Communicative Value of Earnings Call Transcripts,Financial Reporting,"Tsung-Kang Chen, Yun Hao, Yu-Chun Lin"
64,4.7069106,5.546997,2025,"Market for Corporate Control, Stock Market Feedback, and Investment Efficiency: Evidence from International M&A Laws",Financial Reporting,"Jong Chool Park, Jay Lee, Bo Xu"
65,4.3726826,5.655188,2025,Operating Lease Accounting and Firms’ Financing Decisions,Financial Reporting,Xinyuan Shao
66,5.326178,5.736347,2025,LongFinBERT: A Language Model for Very Long Financial Documents,Financial Reporting,"Minh Tri Phan, Erik-Jan Senn"
67,6.349938,2.9669337,2025,Credibility and reputation concerns: Evidence from X users,Financial Reporting,Louis Mangeney
68,5.8656883,6.552761,2025,Why voluntarily adopting US firms drop the direct method for disclosing cash flows from operating activities?,Financial Reporting,"Baljit Sidhu, Chuan Yu"
69,5.456317,5.4515705,2025,Re-Standardized Financial Statement Data,Financial Reporting,"Federico Siano, Matthew Lyle, Teri Yohn"
70,0.8152101,5.8947587,2025,How Does Recognition of Forward-Looking Estimates Affect Learning about the Macroeconomy? Evidence from CECL,Financial Reporting,"Ally Lin, Oliver Binz, Matthew Phillips"
71,6.20618,7.267921,2025,Centralized Electronic Reporting and Disclosure Informativeness: Evidence from a Top-Down Regulatory Change in Germany,Financial Reporting,"Reeyarn Li, Stephan Kaiser, Soenke Sievers"
72,2.5487225,6.683189,2025,Best Companies to Work For and Firm Performance: The Role of Managerial Pessimism,Financial Reporting,Xinlun Song
73,5.799631,6.3739686,2025,CEO Accounting Background and SEC Comment Letters,Financial Reporting,Yu-Chun Lin
74,0.7744169,5.933949,2025,Corporate use of artificial intelligence and subsequent product market performance,Financial Reporting,"Jeff Wang, Jennifer Tucker, Ran Zhao"
75,6.664763,7.249718,2025,The Paradox of Cybersecurity Reporting: A Textual Analysis of European Disclosure Practices,Financial Reporting,"Elodie Behnam, Kevin Gauch, Enrico Prinz, Laura Schaffner"
76,2.2960591,4.696446,2025,Pressures from Parallels: Accounting Information Comparability and Excessive R&D Intensity,Financial Reporting,"Tianze Li, Zijian Cheng, Zhangxin (Frank) Liu, Qian Li"
77,5.8481565,5.270693,2025,Do zombie firms manipulate earnings?,Financial Reporting,"Laura Parte, María Del Mar Camacho-Miñano, Domenico Campa, José Jimenez-Mazario"
78,1.2624186,3.7814689,2025,Experimental Examination of the Effect of IFRS 18 regulation of Management-defined Performance Measures,Financial Reporting,"Sameera Khatoon, Linda Thorne, Nicolas Epelbaum"
79,5.5719438,5.819966,2025,The Effects of Risk Factor Disclosures on the Stock Price Crash Risk of Firms,Financial Reporting,"Hsiaowen Wang, Chia-Hsun Hsieh"
80,3.8303938,4.6952524,2025,Revenue-Expense Matching and Business Cycle,Financial Reporting,"João Paulo Ribeiro, Elizangela Castro, Patrícia Pain, Suliani Rover"
81,5.2041216,5.713668,2025,The Effects of Human Capital Disclosures on Professional Investors’ Assessments of Firm Risk,Financial Reporting,"Ethan Rouen, Lisa Laviers, Jason Sandvik, Robert Jennings"
82,2.5097995,4.5575805,2025,Changes in Firms’ Business Models and Accrual Estimation,Financial Reporting,"Stephan Kaiser, Benedikt Franke, Frederic Schlackl, Reeyarn Li, Soenke Sievers"
83,6.8307533,5.335701,2025,Corporate Crypto Holdings and Analysts’ Forecasting Environment,Financial Reporting,"Nikolaos Tsileponis, Yi Huang, Adriana Korczak"
84,4.0917516,3.413779,2025,On the contemporaneous reporting of income increasing and income decreasing special items: initial evidence,Financial Reporting,"James Potepa, Kalin Kolev"
85,6.350489,6.53276,2025,The Usefulness of Cryptocurrency Disclosures: Evidence from U.S. public firms,Financial Reporting,Thinh Nguyen
86,4.5762,4.8997345,2025,Mandatory Forecasts and Debt Markets,Financial Reporting,"Ruth Rooz, Benjamin Segal"
87,3.5721986,3.5926645,2025,Surplus Reduction and Personal Incentives in the Government Sector,Financial Reporting,"Xi Chen, Gilles Hilary, Amanda Beck"
88,5.27119,6.5087185,2025,Dissecting Insider Sales,Financial Reporting,"Juliane Wutzler, Amir Amel-Zadeh"
89,5.486976,6.6915936,2025,Patent Collateral Value Verification and Credit Constraints,Financial Reporting,"Jessica Kim-Gina, Aytekin Ertan, Muskan Chawla"
90,2.9571788,5.5314903,2025,Pay Inequality and Job Satisfaction: Evidence from Glassdoor,Financial Reporting,"Clifton Green, Stanimir Markov, Dexin Zhou"
91,3.6303124,5.3017244,2025,Intermediaries under the Spotlight: Transparency of Pharmacy Benefit Managers and Medicare Part D Drug costs,Financial Reporting,Nicola Maria Fiore
92,5.8301787,5.76096,2025,Mandatory Disclosure and Voluntary CEO Departure,Financial Reporting,"Young Jun Cho, Jaewoo Kim, Hojun Seo, Yucheng (John) Yang"
93,6.535357,5.224008,2025,The impact of credit rating reports’ sentiment and readability on analysts’ forecasting—Application of neural network models,Financial Reporting,"Ujjal Mondal, Ana Marques, Fabio Motoki, Patrycja Klusak"
94,5.8127666,6.9202366,2025,Patent Privateering,Financial Reporting,"Jenny Li Zhang, Jinhwan Kim, Kristen Valentine, Yuxiang Zheng"
95,6.0660095,6.232511,2025,Enterprise System Standardization and Firm Information Provision,Financial Reporting,"Wen Chen, Haibin Wu, Jeong-Bon Kim, Chengxin Cao, Zihui Li"
96,5.3242817,6.0387588,2025,From Accounting to Commercial Lending: Can Earnings Information Predict Credit Firms and Households Credit Growth?,Financial Reporting,Indra Tumbelaka
97,5.6757674,2.3564749,2025,Do Small Audit Firms Strategically Respond to PCAOB Reports?,Financial Reporting,"Encarna Guillamon Saorin, Andres Guiral, Miguel Minutti-Meza, Doocheol Moon"
98,5.7727814,5.024781,2025,Non-GAAP Reporting and Investor Relations,Financial Reporting,Luke Phelps
99,5.900544,6.6103883,2025,Do Machine-readable Disclosures Facilitate Regulatory Scrutiny? Evidence from SEC Comment Letters,Financial Reporting,Xin Xu
100,5.235705,8.603581,2025,When Smoke and Mirrors Fail: Strategic Climate Disclosures and Investor Skepticism,Financial Reporting,Hyunjung Rim
101,2.323779,5.227071,2025,Cost Anchoring in Fair Value Estimation,Financial Reporting,"Thomas Hagenberg, Leslie Hodder, Spencer Anderson, Yuze Xia"
102,6.560048,6.8164945,2025,Informational mosaic effect and discretionary disclosure (new version),Financial Reporting,"Manuel Nunez-Nickel, Paulo Maduro, Gilberto Marquez-Illescas"
103,2.3136516,5.1425505,2025,Economic Consequences of Bias in Fair Value Accounting: Evidence from the Korean Bond Markets,Financial Reporting,Doyeon Kim
104,4.3110886,4.218741,2025,Commitment through Forecasting: Managerial Buyback Guidance and Payout Policy,Financial Reporting,"Zachary Kaplan, Lauren Vollon, Adriano Salerno"
105,6.040073,5.374676,2025,Do Investors Trade on Stale Earnings Information? Evidence from China,Financial Reporting,"Kevin Li, Liuchuang Li"
106,5.8945937,5.0279784,2025,Hiding in Plain Sight: Do Investors Price the Likelihood of Future Opportunism in Non-GAAP Earnings?,Financial Reporting,"Keehea Moon, Edgar Rodriguez-Vazquez"
107,4.879556,5.614625,2025,Do capital markets anticipate financial restatements?,Financial Reporting,"Christian Tischer, Michael Grüning"
108,1.3571676,3.5751872,2025,The determinants of IFRS abandonment process: firm-level evidence from Italy,Financial Reporting,Luca Baccarini
109,4.1892695,6.09152,2025,Firm-Level Political Risk and Accounting Conservatism,Financial Reporting,"Safa Gaaya, Moez Essid, Adel Beldi, Itidel Ben Saad"
110,4.754279,5.912251,2025,On the shoulders of giants: (How) Does Mandating Annual Report Discourse on Strategy and Business Model Improve Transparency About Value Creation?,Financial Reporting,"Mahmoud Gad, Sam Rawsthorne, Steven Young"
111,5.9841323,6.1145053,2025,Internally Generated Intangible Capital and Information Uncertainty: The Mediating Role of Narrative Disclosures,Financial Reporting,"Xinyi Peng, Rong Zhao"
112,4.1297503,6.0042276,2025,Corporate governance profiles and accounting conservatism in European financial institutions,Financial Reporting,Virpi Haaramo
113,5.1667237,4.7656245,2025,1. ADR intra-sector spillover effect on accrual based earnings management,Financial Reporting,"DanteViana, Jr., Isabel Lourenço"
114,5.7416377,5.7711277,2025,2. Determinants of Textual Dissimilarity in 10-K Risk Disclosures,Financial Reporting,"Kevin Gauch, Iuliia Gauch, Reiner Quick, Christian Friedrich"
115,5.2639685,4.8614006,2025,"3. Does size matter? A comparative study of earnings management across small, medium and large private and publicly listed companies in the UK",Financial Reporting,"Ivana Rozic, Salma Ibrahim, George Giannopoulos"
116,4.170514,5.6064143,2025,1. Accounting Standard-Induced Regulatory Capital Management: Evidence from the New Lease Accounting Standard ASC 842,Financial Reporting,Makafui Anani
117,6.5964293,6.8129115,2025,"2. Let them “fake it until they make it”: half-truth disclosure, signaling and the unintended drawback of mandatory certification",Financial Reporting,"Loïc Belze, Francois Larmande"
118,6.32156,7.0966334,2025,3. Disclosure Effects of a Non-Financial Reporting Mandate: A Topic Modeling Approach,Financial Reporting,Bianca Minuth
119,6.6805863,6.1855087,2025,1. Unravel Unraveling,Financial Reporting,"Xiang Zheng, Qi Zhang"
120,3.3304825,9.0507145,2025,2. Measuring Sustainability Reporting Quality: A Retrieval-Augmented Generation Approach,Financial Reporting,"Qi Zhang, Yi-Chun Chen, Tse-Chun Lin"
121,6.011929,6.8504024,2025,3. Uncertain Information Advantage and Price Discovery: Evidence from Data Vendor Dissemination Differences,Financial Reporting,"Elsa Maria Juliani, Karthik Balakrishnan, Lakshmanan Shivakumar, DavidWilson"
122,6.059289,7.1376147,2025,1. Does Investors’ Utilization of Technologies Discourage Firms’Disclosure? Evidence from Archival and Experimental Analyses,Financial Reporting,"Songyi Han, Cai Chen, Mike Mai"
123,5.867163,5.4137197,2025,How executive turnover affects earnings announcement disclosure content and formatting choices,Financial Reporting,"Lars Knorren, Mate Szeles, Jeremiah Bentley"
124,4.9496512,5.4260316,2025,Human Capital Disclosure and Debt Contracting,Financial Reporting,Ming Cherng Deng
125,1.4033077,3.5438442,2025,The Effect of IFRS 16 on the Propensity to Announce Share Repurchases,Financial Reporting,Ni-Yun Chen
126,5.7534065,5.0069246,2025,"Non-GAAP earnings reporting by european companies: comparability of non-GAAP earnings, transparency and quality of non-GAAP adjustments",Financial Reporting,Djibrilla Aziz
127,7.162767,7.2390623,2025,Devils Is in the Details: The Consequences of Firm-Specific Cybersecurity Risk Disclosure,Financial Reporting,"Won No, Kyungha Lee, Arion Cheong"
128,4.761192,8.2669,2025,Do natural disasters affect investment efficiency?,Financial Reporting,Lin-Hui Yu
129,5.2667117,5.190816,2025,Beyond Earnings Quality: Evaluating the Quality of Voluntary Corporate Financial Reporting Practices,Financial Reporting,"Weili Ge, Patricia Dechow, Sarah Mcvay, Wei Ting Loh"
130,5.892524,6.0546517,2025,Narrative Disclosures: The Effects of Persuasion Strategy and Perceived Manager Age on Investor Judgments,Financial Reporting,Clarence Goh
131,5.38999,6.894566,2025,The Value of Financial Statements in Predicting the Innovation Performance of Early-Stage Technology-based Firms: A Machine Learning Approach,Financial Reporting,"Bin Ke, Xinjie Ma, Yanbo Wang"
132,4.6936083,8.672842,2025,Is the Road to Sustainability Paved with Good Intentions? Effects of Scenario Analysis and Sustainability Actions on Managers’ Climate Risk Disclosure Decisi,Financial Reporting,"Yanjia Yang, Feng Yeo"
133,3.5924885,7.450089,2025,Behind the Corporate Veil: How Business Groups Arbitrage ESG Disclosure Mandates,Financial Reporting,"Stefano Cascino, Maria Correia"
134,5.102612,8.892366,2025,Climate disclosure in financial statements,Financial Reporting,"Maximilian A. Müller, Gaizka Ormazabal, Thorsten Sellhorn, Victor Wagner"
135,5.3062973,7.366341,2025,Reporting Regulation and Market Perception,Financial Reporting,Elena Reck
136,5.850195,5.0665054,2025,Does Stock Liquidity Impact Non-GAAP Reporting? Evidence from a Natural Experiment,Financial Reporting,"Byungki Kim, Kalin Kolev, Hangsoo Kyung, You-Il (Chris) Park"
137,5.7893667,5.0054684,2025,Are pre-restatement non-GAAP reporting choices determinants of market reactions to material GAAP restatements?,Financial Reporting,"Christian Sofilkanitsch, Soenke Sievers, Jens Müller, Oliver Mehring"
138,3.1231303,6.36745,2025,CEO Overconfidence and Strategic Repetition from Notes to MD&A in 10-Ks,Financial Reporting,"Javad Rajabalizadeh, Hannu Schadewitz, Antti Miihkinen, Nikolaos Tsileponis"
139,3.4365792,6.909734,2025,CEO Narcissism and Repetitive Language in MD&A Disclosures: Informative Reinforcement or Opportunistic Obfuscation?,Financial Reporting,"Stergios Leventis, Nikolaos Tsileponis, Javad Rajabalizadeh, Reza Hesarzadeh"
140,6.0315285,5.5902247,2025,"CEOs Vocal Emotions, Textual Tones and Earnings Management: Evidence from Earnings Conference Calls",Financial Reporting,"Zhihong Wang, Tien-Shih Hsieh, Jeong-Bon Kim"
141,3.2466745,5.8819094,2025,The Net Impact of Legalizing Sports Betting on Public Finance,Financial Reporting,"Daphne Lui, Zeping Pan, Hui Tan"
142,2.9768028,4.0065002,2025,The Intergovernmental Fiscal System and Local Firms’ Accounting Choices,Financial Reporting,"Travis Chow, Weizhu Hou, Xin Wang"
143,6.0449123,7.386603,2025,Relative Importance of Financial and Environmental Information in B2B Contracting: Experimental Evidence from Firms in Germany,Financial Reporting,"Daniela Zipperer, Yuhan Liu, Jannis Bischof, Davud Rostam-Afschar"
144,3.4153755,7.7111154,2025,"Externality Reduction, ESG Reporting, and Strategic NGO Communication",Financial Reporting,TheresaWittreich
145,3.4368405,8.667085,2025,Can Reporting Drive Corporate Sustainability?,Financial Reporting,"Martin Klosch, TheresaWittreich"
146,3.5087593,7.4372864,2025,ESG Investors and Mandatory ESG Disclosures: Evidence from Human Capital Disclosures,Financial Reporting,Martin Zafiryadis
147,5.074462,6.2731113,2025,The Influence of Disclosure Tone on Loan Pricing and Structure in the Syndicated Loan Market,Financial Reporting,"Ann Ling-Ching Chan, Vincent Chen, KevinWhee Ling Koh"
148,5.1965394,4.856455,2025,Earnings management behavior under multistage financial difficulties: From financial distress to zombification,Financial Reporting,"DavidVeganzones, Eric Severin, Yves Mard"
149,6.8164415,5.3618503,2025,Beyond the Research Department: Brokerage Branches’Local Information Advantage and Analyst Forecast Quality,Financial Reporting,"Xia Chen, An-Ping Lin, Yajing Tian"
150,5.9194183,7.587609,2025,Media Interactions with Firms’ Executives,Financial Reporting,"Ying Huang, Elsa Maria Juliani"
151,5.166586,8.520936,2025,Exploiting Social Funds’ Desire for Impact through Imprecise Financial Climate-Risk Information,Financial Reporting,"Lucas Mahieux, Volker Laux"
152,1.5269371,6.28695,2025,Reliability-Relevance Trade Offs with an Attention-Constrained Manager,Financial Reporting,"Ulrich Schäfer, Sebastian Fleer"
153,6.884658,5.6179223,2025,Attentive Market Timing,Financial Reporting,"Mengdi Zhang, Yifei Mao, Hong Xiang"
154,5.7802615,4.99638,2025,Management Non-GAAP Revenue Guidance,Financial Reporting,"Ted Christensen, Lynn Davis, Edgar Rodriguez-Vazquez, XiaoxiWu"
155,4.8254385,7.118333,2025,Institutional Ownership Concentration and Informational Efficiency,Financial Reporting,"Yan Xiong, Yang Liyan, Zexin Zheng"
156,5.969406,5.4095964,2025,Financial Literacy and Earnings Informativeness: Evidence from Market Reactions to Earnings Announcements,Financial Reporting,"Xiaoran (Jason) Jia, Kiridaran Kanagaretnam, CheeYeow Lim, Gerald Lobo"
157,4.4611816,7.6052513,2025,Exploring the Predictive Ability of Asymmetric Cost Behavior on AAERs,Financial Reporting,"Andreas Charitou, Dimitrios Ntounis, Orestes Vlismas"
158,6.5172977,6.1060743,2025,Sinking in the Same Boat: Portfolio Overlap and Strategic Information Acquisition,Financial Reporting,"Fan Wu, Mingxuan Ma, Haoran Liu"
159,4.8315997,5.745958,2025,Capital Market Effects of SEC Rules under Academic Influence,Financial Reporting,Jan Seitz
160,6.3117957,7.4053187,2025,Pressin’Down on CFOs: Experimental Insights into Materiality Decisions,Financial Reporting,"Ilaria Martino, Alessandra Allini"
161,3.1228638,8.486323,2025,Top Management Team Diversity and Sustainability Reporting Quality,Financial Reporting,Lea Hagemeier
162,1.3806462,3.5668159,2025,"IFRS Adoption, Accruals Reliability, and Cash Holdings: Insights from the United Arab Emirates",Financial Reporting,"Imen Ben Slimene, Mundher Alhamood"
163,2.4272935,4.5447564,2025,The Effects of Accounting Enforcement on the Informativeness of Capitalised R&D across IFRS Countries,Financial Reporting,Marvin Wee
164,5.6545734,6.338204,2025,Does the Disclosure of Supplier Finance Program Obligations Matter for Financial Reporting Quality?,Financial Reporting,"Chia-Ling Chao, Shwu-Min Horng"
165,4.787422,8.673418,2025,"Audit Fees, Firm Characteristics and Trends in Climate and Biodiversity Risk Disclosures: Evidence from Mandatory US Filings",Financial Reporting,Antti Miihkinen
166,6.207228,7.0434976,2025,How does media intervention influence firms’ information disclosure?,Financial Reporting,"Yachang Zeng, Jihun Bae, Jingoo Kang"
167,4.45359,7.325404,2025,Investment Efficiency in the Context of Shareholder Primacy and Stakeholder Primacy Models,Financial Reporting,"Zabihollah Rezaee, Saied Homayoun, Salem Boumediene, Salma Boumediene"
168,4.837283,7.187053,2025,Can Banks Weather This Storm? The Effect of IFRS 9’s Prudential Filters on Banks’Incentives towards Corrective Actions,Financial Reporting,Sherif Elashmawy
169,4.6359673,6.3274794,2025,Reporting Transparency and Stability in Banks,Financial Reporting,"Heylel-Li Biton, Eddie Riedl, Alan Jagolinzer"
170,4.110571,6.372219,2025,The moral compass—The ethical foundations of action within Italian Savings Banks,Social and Environmental Accounting & Ethical Issues in Accounting,"Angela Nativio, Fabrizio Panozzo, Chiara Mio"
